date,country,title,label,views,description,attributes,classify_text,categories_generated
2023-03,Spain,Laura_Valenzuela,Laura Valenzuela,40797,Spanish television presenter (1931–2023),human,spanish television presenter 1931–2023,Not Sports
2023-03,Argentina,Julieta_Lanteri,Julieta Lanteri,40375,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932,Not Sports
2023-03,Spain,Fernando_Alonso,Fernando Alonso,40214,Spanish racing driver,human,spanish racing driver,Not Sports
2023-03,Dominican Republic,Francisco_del_Rosario_Sánchez,Francisco del Rosario Sánchez,39912,Dominican Republic politician (1817-1861),human,dominican republic politician 1817 1861,Not Sports
2023-03,Spain,Ramón_Tamames,Ramón Tamames,38300,Spanish economist and politician,human,spanish economist politician,Not Sports
2023-03,Argentina,Brendan_Fraser,Brendan Fraser,38277,Canadian-American actor (born 1968),human,canadian american actor born 1968,Not Sports
2023-03,Peru,Kitty_O'Neil,Kitty O'Neil,38236,American racing driver and stuntwoman (1946–2018),human,american racing driver stuntwoman 1946–2018,Not Sports
2023-03,Spain,Andrea_Guasch,Andrea Guasch,36811,Spanish actress,human,spanish actress,Not Sports
2023-03,Spain,Brendan_Fraser,Brendan Fraser,36594,Canadian-American actor (born 1968),human,canadian american actor born 1968,Not Sports
2023-03,Chile,Nicolás_Jarry_(tenista),Nicolás Jañññ,35879,Chilean tennis player,human,chilean tennis player,Not Sports
2023-03,Mexico,Sergio_Pérez,Sergio Pérez,35543,Mexican racing driver,human,mexican racing driver,Not Sports
2023-03,Spain,Pau_Gasol,Pau Gasol,34866,Spanish basketball player,human,spanish basketball player,Not Sports
2023-03,Mexico,Guillermo_del_Toro,Guillermo del Toro,34372,Mexican filmmaker and author (born 1964),human,mexican filmmaker author born 1964,Not Sports
2023-03,Spain,Jamie_Lee_Curtis,Jamie Lee Curtis,34217,American actress and author,human,american actress author,Not Sports
2023-03,Peru,José_Mario_Molina_Pasquel_y_Henríquez,Mario Molina,34164,Mexican chemical engineer (1943–2020),human,mexican chemical engineer 1943–2020,Not Sports
2023-03,Mexico,Randy_Arozarena,Randy Arozarena,33913,Cuban-Mexican baseball player,human,cuban mexican baseball player,Sports
2023-03,Spain,Pedro_Solbes,Pedro Solbes,33464,Spanish politician (1942–2023),human,spanish politician 1942–2023,Not Sports
2023-03,Argentina,José_Mario_Molina_Pasquel_y_Henríquez,Mario Molina,33267,Mexican chemical engineer (1943–2020),human,mexican chemical engineer 1943–2020,Not Sports
2023-03,Chile,Nicolás_Jarry_(tenista),Nicolás Jañññ,32586,Chilean tennis player,human,chilean tennis player,Not Sports
2023-03,Argentina,Jey_Mammón,Jey Mammon,31677,"Argentine comedian, singer, actor and TV host",human,argentine comedian singer actor tv host,Not Sports
2023-03,Chile,Eduardo_Ravani,Eduardo Ravani,31468,Chilean journalist (1941–2023),human,chilean journalist 1941–2023,Not Sports
2023-03,Argentina,María_Onetto,María Onetto,31345,Argentine actress (1966–2023),human,argentine actress 1966–2023,Not Sports
2023-03,Spain,Michelle_Yeoh,Michelle Yeoh,31265,Malaysian actress,human,malaysian actress,Not Sports
2023-03,Argentina,María_Onetto,María Onetto,31156,Argentine actress (1966–2023),human,argentine actress 1966–2023,Not Sports
2023-03,Spain,Pelayo_Novo,Pelayo Novo García,30530,Spanish footballer (1990–2023),human,spanish footballer 1990–2023,Not Sports
2023-03,Spain,Jonathan_Ke_Quan,Ke Huy Quan,29439,American actor and stunt choreographer,human,american actor stunt choreographer,Not Sports
2023-03,Spain,Ramón_Tamames,Ramón Tamames,29047,Spanish economist and politician,human,spanish economist politician,Not Sports
2023-03,Spain,Lance_Reddick,Lance Reddick,27770,American actor (1962–2023),human,american actor 1962–2023,Not Sports
2023-03,Mexico,Michelle_Yeoh,Michelle Yeoh,27744,Malaysian actress,human,malaysian actress,Not Sports
2023-03,Mexico,Benito_Juárez,Benito Juárez,27676,President of Mexico from 1858 to 1872,human,president mexico 1858 1872,Not Sports
2023-03,Mexico,Jonathan_Ke_Quan,Ke Huy Quan,27555,American actor and stunt choreographer,human,american actor stunt choreographer,Not Sports
2023-03,Spain,Juan_Carlos_Unzué,Juan Carlos Unzué,27431,Spanish footballer and manager (born 1967),human,spanish footballer manager born 1967,Not Sports
2023-03,Spain,Ana_Obregón,Ana Obregón,27169,Spanish actress,human,spanish actress,Not Sports
2023-03,Mexico,Ignacio_López_Tarso,Ignacio López Tarso,26956,Mexican actor and politician (1925–2023),human,mexican actor politician 1925–2023,Not Sports
2023-03,Peru,Paolo_Hurtado,Paolo Hurtado,26819,Peruvian footballer,human,peruvian footballer,Not Sports
2023-03,Chile,Alipio_Vera,Alipio Vera,26529,Chilean journalist,human,chilean journalist,Not Sports
2023-03,Colombia,Brendan_Fraser,Brendan Fraser,26450,Canadian-American actor (born 1968),human,canadian american actor born 1968,Not Sports
2023-03,Argentina,Jamie_Lee_Curtis,Jamie Lee Curtis,26092,American actress and author,human,american actress author,Not Sports
2023-03,Spain,Georgina_Rodríguez,Georgina Rodríguez,25465,Argentine-Spanish model and businesswoman,human,argentine spanish model businesswoman,Not Sports
2023-03,Spain,Kiko_Veneno,Kiko Veneno,25453,Spanish musician,human,spanish musician,Not Sports
2023-03,Mexico,Lele_Pons,Lele Pons,24998,Venezuelan-American YouTuber,human,venezuelan american youtuber,Not Sports
2023-03,Argentina,Pablo_Javkin,Pablo Javkin,24793,Argentine lawyer and politician,human,argentine lawyer politician,Not Sports
2023-03,Mexico,Alejandro_Camacho,Alejandro Camacho,24602,Mexican actor and producer,human,mexican actor producer,Not Sports
2023-03,Spain,Blas_Piñar,Blas Piñar,24549,Spanish politician (1918–2014),human,spanish politician 1918–2014,Not Sports
2023-03,Spain,Bárbara_Rey,Bárbara Rey,24487,Spanish vedette,human,spanish vedette,Not Sports
2023-03,Argentina,Gerardo_Martino,Gerardo Martino,24349,Argentine footballer and manager,human,argentine footballer manager,Not Sports
2023-03,Argentina,Jey_Mammón,Jey Mammon,23526,"Argentine comedian, singer, actor and TV host",human,argentine comedian singer actor tv host,Not Sports
2023-03,Spain,Miguel_Bosé,Miguel Bosé,23281,"Spanish-Italian musician, singer and actor",human,spanish italian musician singer actor,Not Sports
2023-03,Chile,Brendan_Fraser,Brendan Fraser,23049,Canadian-American actor (born 1968),human,canadian american actor born 1968,Not Sports
2023-03,Spain,Bojan_Krkić,Bojan Krkić,23020,Spanish footballer (born 1990),human,spanish footballer born 1990,Not Sports
2023-03,Mexico,Shohei_Ohtani,Shohei Ohtani,22767,Japanese professional baseball player,human,japanese professional baseball player,Sports
2023-03,Chile,Jaime_Pizarro,Jaime Pizarro,22682,Chilean footballer,human,chilean footballer,Not Sports
2023-03,Mexico,Rebecca_Jones,Rebecca Jones,22613,Mexican actress (1957–2023),human,mexican actress 1957–2023,Not Sports
2023-03,Argentina,Blanca_Cotta,Blanca Cotta,22395,"Argentine cook, journalist, cartoonist (1925-2019)",human,argentine cook journalist cartoonist 1925 2019,Not Sports
2023-03,Mexico,Ignacio_López_Tarso,Ignacio López Tarso,22118,Mexican actor and politician (1925–2023),human,mexican actor politician 1925–2023,Not Sports
2023-03,Chile,Pedro_Pascal,Pedro Pascal,21856,Chilean-American actor (born 1975),human,chilean american actor born 1975,Not Sports
2023-03,Spain,Ramón_Tamames,Ramón Tamames,21851,Spanish economist and politician,human,spanish economist politician,Not Sports
2023-03,Mexico,Pedro_Pascal,Pedro Pascal,21798,Chilean-American actor (born 1975),human,chilean american actor born 1975,Not Sports
2023-03,Mexico,Brendan_Fraser,Brendan Fraser,21768,Canadian-American actor (born 1968),human,canadian american actor born 1968,Not Sports
2023-03,Argentina,Jey_Mammón,Jey Mammon,21675,"Argentine comedian, singer, actor and TV host",human,argentine comedian singer actor tv host,Not Sports
2023-03,Spain,Georgina_Rodríguez,Georgina Rodríguez,21426,Argentine-Spanish model and businesswoman,human,argentine spanish model businesswoman,Not Sports
2023-03,Spain,Lele_Pons,Lele Pons,21382,Venezuelan-American YouTuber,human,venezuelan american youtuber,Not Sports
